Template ID,Primary Category,Use Case,Active?,Variant Group,Tone,Gender Variant,Language,Sequence Position,Paired With Agent Type,Template Text,English Translation,Is Ownership Check,Personalization Tags,Secondary Category,Cooldown Days,Notes,Version
local-template:mf_units_unknown:v1,Landlord / Multifamily,mf_units_unknown,Yes,Multifamily Underwrite - Units (Open),Neutral,Neutral,English,V1,Specialist-Landlord / Market-Local,"Just so I underwrite {{property_address}} correctly, how many total units are there?","Just so I underwrite {{property_address}} correctly, how many total units are there?",No,,Underwriting,3,"Local fallback for MF deals when we do not have a reliable unit-count guess to confirm.",1
local-template:mf_units_unknown:v2,Landlord / Multifamily,mf_units_unknown,Yes,Multifamily Underwrite - Units (Open),Neutral,Neutral,English,V2,Specialist-Landlord / Market-Local,"Quick MF underwriting check on {{property_address}}: what’s the total unit count?","Quick MF underwriting check on {{property_address}}: what’s the total unit count?",No,,Underwriting,3,"Local fallback for MF deals when we do not have a reliable unit-count guess to confirm.",1
local-template:novation_probe:v1,Residential,novation_probe,Yes,Novation Probe,Neutral,Neutral,English,V1,Fallback / Market-Local / Specialist-Close,"If a straight cash number is the gap on {{property_address}}, would you be open to a novation-style option if it could net you more?","If a straight cash number is the gap on {{property_address}}, would you be open to a novation-style option if it could net you more?",No,,Negotiation,3,"Net-focused novation opener for retail-value objections.",1
local-template:novation_probe:v2,Residential,novation_probe,Yes,Novation Probe,Neutral,Neutral,English,V2,Fallback / Market-Local / Specialist-Close,"If retail price is what matters most on {{property_address}}, would you want to hear a novation route that may improve your net?","If retail price is what matters most on {{property_address}}, would you want to hear a novation route that may improve your net?",No,,Negotiation,3,"Alternative novation opener for wants-retail scenarios.",1
local-template:novation_condition_scope:v1,Residential,novation_condition_scope,Yes,Novation Underwrite - Condition Scope,Neutral,Neutral,English,V1,Fallback / Market-Local / Specialist-Close,"Before I map the best novation path on {{property_address}}, what repairs or updates would a retail buyer notice first?","Before I map the best novation path on {{property_address}}, what repairs or updates would a retail buyer notice first?",No,,Underwriting,3,"Captures retail-facing repair scope for novation underwriting.",1
local-template:novation_condition_scope:v2,Residential,novation_condition_scope,Yes,Novation Underwrite - Condition Scope,Neutral,Neutral,English,V2,Fallback / Market-Local / Specialist-Close,"Quick condition check on {{property_address}}: what would need to be fixed, refreshed, or cleaned up before putting it in front of retail buyers?","Quick condition check on {{property_address}}: what would need to be fixed, refreshed, or cleaned up before putting it in front of retail buyers?",No,,Underwriting,3,"Alternative wording for repair-scope capture.",1
local-template:novation_listing_readiness:v1,Residential,novation_listing_readiness,Yes,Novation Underwrite - Listing Readiness,Neutral,Neutral,English,V1,Fallback / Market-Local / Specialist-Close,"If we took a novation route on {{property_address}}, is it vacant or show-ready enough for photos and buyer walkthroughs?","If we took a novation route on {{property_address}}, is it vacant or show-ready enough for photos and buyer walkthroughs?",No,,Underwriting,3,"Assesses access and listing readiness for novation path.",1
local-template:novation_listing_readiness:v2,Residential,novation_listing_readiness,Yes,Novation Underwrite - Listing Readiness,Neutral,Neutral,English,V2,Fallback / Market-Local / Specialist-Close,"For {{property_address}}, would we have clean access for photos/showings, or is there anything that would block listing it quickly?","For {{property_address}}, would we have clean access for photos/showings, or is there anything that would block listing it quickly?",No,,Underwriting,3,"Alternative listing-access wording.",1
local-template:novation_timeline:v1,Residential,novation_timeline,Yes,Novation Underwrite - Timeline,Neutral,Neutral,English,V1,Fallback / Market-Local / Specialist-Close,"If we aimed for a higher-net novation exit on {{property_address}}, what timeline would you be comfortable with?","If we aimed for a higher-net novation exit on {{property_address}}, what timeline would you be comfortable with?",No,,Underwriting,3,"Timeline capture for novation sellers who want higher net.",1
local-template:novation_timeline:v2,Residential,novation_timeline,Yes,Novation Underwrite - Timeline,Neutral,Neutral,English,V2,Fallback / Market-Local / Specialist-Close,"How quickly do you need to be done on {{property_address}} if the net to you improves with a novation approach?","How quickly do you need to be done on {{property_address}} if the net to you improves with a novation approach?",No,,Underwriting,3,"Alternative timeline wording.",1
local-template:novation_net_to_seller:v1,Residential,novation_net_to_seller,Yes,Novation Underwrite - Seller Net,Neutral,Neutral,English,V1,Fallback / Market-Local / Specialist-Close,"To see if a novation path is worth it on {{property_address}}, what number do you need to walk away with after fees and closing costs?","To see if a novation path is worth it on {{property_address}}, what number do you need to walk away with after fees and closing costs?",No,,Negotiation,3,"Targets seller walk-away requirement.",1
local-template:novation_net_to_seller:v2,Residential,novation_net_to_seller,Yes,Novation Underwrite - Seller Net,Neutral,Neutral,English,V2,Fallback / Market-Local / Specialist-Close,"What net amount would make {{property_address}} make sense for you if we structured it for a retail-style sale?","What net amount would make {{property_address}} make sense for you if we structured it for a retail-style sale?",No,,Negotiation,3,"Alternative seller-net wording.",1
